"","node","neighbors","n_neighbors"
"1",1,"201, 3, 3252, 101, 2",5
"2",2,"1, 8769, 9167, 7614, 101, 102, 3",7
"3",3,"2, 1, 203, 104, 5, 102, 8135",7
"4",4,"6037, 376, 204, 105, 6, 103, 104, 5, 4348",9
"5",5,"4, 3, 9685, 106, 2233, 104, 6967, 2871",8
"6",6,"4, 2324, 206, 107, 105, 106, 9075",7
"7",7,"207, 108, 1758, 106, 107, 8",6
"8",8,"7, 7436, 208, 109, 10, 107, 108, 9",8
"9",9,"8, 8624, 209, 110, 11, 4966, 10",7
"10",10,"8, 9, 9418, 6576, 7737, 5772, 834, 210, 111, 109, 11",11
"11",11,"9, 10, 112, 13, 110, 111, 12",7
"12",12,"11, 212, 113, 111, 9710, 9093, 5344, 112, 13",9
"13",13,"12, 11, 213, 114, 15, 112, 113, 14",8
"14",14,"13, 1137, 214, 16, 113, 1977, 114, 5803",8
"15",15,"13, 215, 17, 114, 115",5
"16",16,"14, 3708, 216, 117, 18, 115, 8519, 116, 7272",9
"17",17,"15, 217, 19, 117, 18",5
"18",18,"17, 16, 8426, 2981, 358, 119, 20, 117, 118, 796",10
"19",19,"17, 1237, 120, 21, 118, 119, 20",7
"20",20,"19, 18, 1473, 220, 121, 22, 5527, 21",8
"21",21,"19, 20, 9006, 221, 122, 23, 120, 4492, 1493, 7716",10
"22",22,"20, 8922, 222, 123, 24, 121, 2396, 122, 23, 6951",10
"23",23,"22, 21, 8585, 223, 153, 25, 122, 123, 24",9
"24",24,"23, 22, 5997, 579, 224, 125, 123, 1450, 124, 25",10
"25",25,"24, 23, 5274, 2754, 5755, 126, 27, 1706, 5855, 4347, 125, 26",12
"26",26,"25, 6931, 8819, 5965, 125, 4331, 126, 27",8
"27",27,"26, 25, 7236, 227, 128, 29, 126, 127",8
"28",28,"228, 129, 30, 1762, 29, 3721",6
"29",29,"28, 27, 3526, 229, 130, 128, 7941, 129, 30",9
"30",30,"29, 28, 131, 32, 129, 130, 31",7
"31",31,"30, 231, 132, 33, 7963, 7644, 131, 32",8
"32",32,"31, 30, 5138, 893, 232, 133, 131, 251, 132",9
"33",33,"31, 6695, 233, 134, 35, 6400, 133, 34, 5649",9
"34",34,"33, 7697, 4464, 234, 135, 36, 1698, 1639, 8292, 6763, 2863, 134, 35",13
"35",35,"34, 33, 235, 37, 134, 135, 36",7
"36",36,"35, 34, 236, 137, 38, 135, 2292, 37",8
"37",37,"35, 36, 237, 138, 39, 3293, 137, 38",8
"38",38,"37, 36, 238, 139, 40, 137, 138, 39",8
"39",39,"38, 37, 239, 140, 41, 138, 40",7
"40",40,"38, 39, 8167, 240, 141, 139, 140, 41",8
"41",41,"40, 39, 3903, 942, 241, 142, 43, 140, 141, 42",10
"42",42,"41, 3248, 242, 143, 141, 1599, 5583, 43",8
"43",43,"42, 41, 5369, 5239, 6683, 45, 142, 143",8
"44",44,"244, 145, 46, 2402, 9578, 144, 45, 4638",8
"45",45,"44, 43, 5510, 1194, 245, 146, 3319, 144, 8825, 5134, 46",11
"46",46,"45, 44, 5658, 246, 147, 47",6
"47",47,"46, 7601, 247, 5632, 49, 146, 147, 48",8
"48",48,"47, 248, 149, 50, 147, 8324, 148, 49",8
"49",49,"48, 47, 4781, 249, 150, 51, 148, 149, 50",9
"50",50,"49, 48, 151, 52, 149, 51",6
"51",51,"49, 50, 7817, 6728, 152, 53, 150, 151, 52",9
"52",52,"51, 50, 9395, 883, 252, 153, 54, 151, 5286, 152, 53",11
"53",53,"52, 51, 7209, 253, 154, 55, 152, 153, 54",9
"54",54,"53, 52, 254, 155, 56, 153, 154",7
"55",55,"53, 255, 156, 57, 154, 155, 56, 7431",8
"56",56,"55, 54, 256, 157, 58, 155, 156, 57",8
"57",57,"56, 55, 257, 158, 156, 6510",6
"58",58,"56, 258, 159, 9637, 7329, 59, 4179",7
"59",59,"58, 797, 259, 160, 61, 158, 7947, 9618, 159, 60",10
"60",60,"59, 260, 2383, 159, 654, 1821, 160, 7449",8
"61",61,"59, 3795, 1333, 261, 162, 3943, 160, 161, 62",9
"62",62,"61, 262, 163, 64, 161, 162, 9832",7
"63",63,"8551, 5730, 263, 164, 65, 162, 163",7
"64",64,"62, 264, 165, 66, 163, 164, 65, 1619",8
"65",65,"64, 63, 572, 265, 166, 67, 164, 66",8
"66",66,"64, 65, 266, 167, 68, 165, 3320, 166, 67",9
"67",67,"66, 65, 267, 168, 69, 166, 1419, 68",8
