"","node","neighbors","n_neighbors"
"1",1,"201, 7585, 101, 2",4
"2",2,"1, 202, 2538, 4, 101, 102, 3",7
"3",3,"2, 6643, 104, 5, 102, 841, 103, 4",8
"4",4,"3, 2, 9532, 204, 105, 6, 7141, 104, 5",9
"5",5,"4, 3, 205, 106, 7, 1261, 9449, 6",8
"6",6,"5, 4, 4107, 206, 107, 105, 106, 7",8
"7",7,"6, 5, 4691, 207, 108, 9, 106, 8",8
"8",8,"7, 208, 109, 10, 107, 4382, 3607, 108, 9",9
"9",9,"8, 7, 209, 2296, 11, 108, 109, 10",8
"10",10,"9, 8, 210, 111, 109, 110, 2089",7
"11",11,"9, 112, 13, 110, 111, 12",6
"12",12,"11, 212, 113, 112, 13",5
"13",13,"12, 11, 5335, 3905, 1067, 213, 114, 15, 9479, 113, 14",11
"14",14,"13, 4550, 214, 115, 16, 113, 9693, 114, 15",9
"15",15,"14, 13, 215, 116, 114, 1390, 115, 16",8
"16",16,"15, 14, 6585, 216, 117, 18, 115, 268, 116, 17",10
"17",17,"16, 3733, 118, 19, 116, 9773, 117, 8428",8
"18",18,"16, 4271, 119, 20, 117, 8082, 1188, 118, 19",9
"19",19,"18, 17, 9399, 5426, 219, 120, 21, 20",8
"20",20,"18, 19, 8619, 675, 220, 121, 22, 119, 120, 21",10
"21",21,"20, 19, 1907, 221, 122, 23, 120, 121, 2428",9
"22",22,"20, 7266, 222, 123, 24, 121, 122, 23",8
"23",23,"22, 21, 223, 124, 25, 122, 123, 24",8
"24",24,"23, 22, 4258, 224, 125, 123, 8160, 124",8
"25",25,"23, 3924, 2582, 225, 6666, 27, 124, 125, 26, 699",10
"26",26,"25, 226, 127, 28, 125, 1871, 126, 27",8
"27",27,"26, 25, 6403, 227, 128, 29, 126, 7463, 28",9
"28",28,"27, 26, 9156, 228, 129, 30, 127, 128, 29",9
"29",29,"28, 27, 1016, 229, 31, 128, 129, 7315",8
"30",30,"28, 230, 131, 129, 130",5
"31",31,"29, 231, 132, 33, 4574, 2610, 32, 8994",8
"32",32,"31, 6287, 4701, 232, 133, 34, 131, 8705, 132, 33",10
"33",33,"32, 31, 134, 35, 132, 3921, 34",7
"34",34,"33, 32, 1907, 135, 36, 134, 35",7
"35",35,"34, 33, 5696, 235, 136, 37, 134, 36",8
"36",36,"34, 35, 8776, 236, 38, 9569",6
"37",37,"35, 237, 138, 136, 137, 3249",6
"38",38,"36, 7273, 238, 139, 40, 137, 138, 39",8
"39",39,"38, 2065, 140, 41, 138, 2101, 139",7
"40",40,"38, 1193, 141, 42, 139, 140, 3832",7
"41",41,"39, 439, 241, 43, 140, 5357, 3220, 141, 42, 9637",10
"42",42,"41, 40, 6970, 2637, 1975, 242, 143, 44, 141, 142, 43",11
"43",43,"42, 41, 8598, 8750, 8414, 243, 144, 142, 143, 44",10
"44",44,"43, 42, 2387, 3811, 145, 46, 143, 8497, 144",9
"45",45,"146, 47, 144, 4165, 7367, 145, 9876",7
"46",46,"44, 3264, 147, 48, 145, 1737, 1031, 47, 9967",9
"47",47,"46, 45, 247, 4977, 6984, 147",6
"48",48,"46, 5828, 248, 149, 50, 147, 137, 275, 148, 49, 7095",11
"49",49,"48, 8558, 5520, 2391, 1433, 4383, 150, 51, 148, 149, 50",11
"50",50,"49, 48, 6766, 250, 52, 149, 5067, 51",8
"51",51,"49, 50, 5643, 251, 152, 9249, 150, 151, 52",9
"52",52,"51, 50, 153, 54, 151, 152, 53",7
"53",53,"52, 253, 154, 55, 153, 54",6
"54",54,"53, 52, 5786, 56, 153, 9083, 55",7
"55",55,"53, 54, 8162, 2940, 255, 156, 57, 154, 8232, 155, 56",11
"56",56,"55, 54, 1329, 256, 157, 58, 155, 8509, 2207, 1233, 156",11
"57",57,"55, 4481, 257, 158, 59, 156, 2670, 5238, 157, 4429",10
"58",58,"56, 4878, 258, 159, 157, 6434, 59, 970",8
"59",59,"58, 57, 8255, 259, 160, 61, 158, 159, 60",9
"60",60,"59, 260, 161, 62, 159, 7387, 160",7
"61",61,"59, 5634, 261, 162, 161, 62, 1557",7
"62",62,"61, 60, 5508, 5284, 262, 163, 64, 161, 4248, 63",10
"63",63,"62, 6147, 263, 164, 65, 162, 962, 64",8
"64",64,"62, 63, 5388, 264, 165, 66, 163, 8384, 6002, 164, 65",11
"65",65,"64, 63, 7899, 1856, 265, 166, 67, 164, 7366, 1910, 165, 66",12
"66",66,"65, 64, 1394, 266, 167, 68, 165, 3185, 166, 67",10
"67",67,"66, 65, 1291, 69, 166, 167, 68",7
"68",68,"67, 66, 268, 169, 70, 167, 4263, 6576, 3441, 69",10
"69",69,"68, 67, 269, 3492, 71, 168, 3503, 433, 169, 70",10
"70",70,"69, 68, 8001, 171, 169, 4174, 170, 71",8
"71",71,"70, 69, 4968, 271, 172, 73, 170, 72",8
"72",72,"71, 6759, 3174, 272, 173, 74, 171, 3286, 1847, 172, 73",11
"73",73,"72, 71, 4313, 1101, 567, 273, 174, 8197, 173, 74",10
"74",74,"73, 72, 9618, 1141, 274, 175, 76, 173, 75",9
"75",75,"74, 3251, 275, 176, 77, 174, 583, 175, 76",9
"76",76,"75, 74, 276, 177, 78, 176, 77",7
"77",77,"76, 75, 2338, 277, 178, 79, 4769, 177, 78",9
"78",78,"77, 76, 278, 179, 80, 177, 178, 6583",8
"79",79,"77, 180, 178, 80",4
"80",80,"78, 79, 4963, 3846, 280, 181, 82, 179, 81",9
"81",81,"80, 6783, 999, 281, 182, 83, 180, 6074, 181, 5416",10
"82",82,"80, 9790, 282, 183, 84, 181, 9514, 182, 2365",9
"83",83,"81, 3319, 283, 184, 85, 182, 183, 84",8
"84",84,"83, 82, 2692, 284, 86, 183, 184, 85",8
"85",85,"84, 83, 285, 184, 185, 86",6
"86",86,"85, 84, 6726, 187, 88, 185, 186, 87",8
"87",87,"86, 5294, 287, 188, 89, 186, 2491, 187",8
"88",88,"86, 2467, 187, 3561, 188, 2876, 6206",7
"89",89,"87, 8888, 6975, 289, 91, 188, 189, 90",8
"90",90,"89, 447, 290, 191, 189, 8866, 190, 8980",8
"91",91,"89, 291, 192, 93, 404, 8073, 191, 92",8
"92",92,"91, 9447, 1112, 292, 193, 4429, 191, 256, 192, 93",10
"93",93,"92, 91, 5601, 293, 194, 193, 94",7
"94",94,"93, 7392, 5204, 294, 195, 96, 193, 194, 95",9
"95",95,"94, 295, 196, 97, 194, 3662, 195, 96",8
"96",96,"95, 94, 9792, 296, 197, 98, 195, 5485, 1325, 97",10
"97",97,"96, 95, 1690, 297, 198, 99, 7041, 197",8
"98",98,"96, 9459, 9221, 100, 197, 198, 99, 8322",8
"99",99,"98, 97, 8426, 299, 200, 198, 199, 100",8
"100",100,"99, 98, 4772, 300, 199",5
"101",101,"1, 2, 8564, 301, 202, 103, 201, 102",8
"102",102,"2, 101, 3, 302, 203, 104, 201, 202, 103",9
"103",103,"3, 102, 101, 119, 3165, 8969, 7510, 105, 202, 203, 104",11
"104",104,"4, 103, 3, 102, 205, 106, 203, 6758, 105",9
"105",105,"104, 4, 103, 6, 305, 206, 107, 204, 205, 868",10
"106",106,"6, 5, 7, 104, 5664, 1218, 207, 7932, 205, 9675, 206, 4373",12
"107",107,"6, 8, 105, 4588, 307, 208, 3700, 6828, 207, 108",10
"108",108,"8, 107, 7, 9, 308, 209, 110, 7820, 208, 109",10
"109",109,"9, 108, 8, 10, 4050, 309, 210, 111, 208, 209, 110",11
"110",110,"10, 109, 11, 108, 310, 6423, 112, 209, 210, 111",10
"111",111,"11, 110, 10, 109, 8820, 6031, 4584, 2822, 311, 212, 113, 210, 8484, 8535, 211, 112",16
"112",112,"12, 111, 110, 11, 713, 312, 213, 114, 263, 212, 7047",11
"113",113,"13, 12, 14, 111, 1234, 683, 313, 214, 212, 114",10
"114",114,"14, 13, 15, 112, 113, 7831, 2874, 215, 116, 213, 2558, 214, 115",13
"115",115,"15, 114, 14, 16, 2410, 8763, 216, 117, 214, 4013, 9515, 215, 116",13
"116",116,"16, 115, 15, 17, 114, 316, 217, 118, 215, 216, 117",11
"117",117,"17, 116, 16, 18, 115, 317, 3803, 119, 216, 7038, 217, 118",12
"118",118,"18, 117, 17, 116, 318, 219, 217, 7355, 218, 119",10
"119",119,"103, 118, 18, 20, 117, 9377, 319, 220, 121, 1840, 219, 120",12
"120",120,"20, 119, 19, 21, 320, 221, 122, 3453, 5036, 7553, 220, 121",12
"121",121,"21, 120, 20, 22, 119, 2682, 222, 123, 4896, 221, 122",11
"122",122,"22, 121, 21, 23, 120, 6751, 5775, 322, 223, 124, 221, 6488, 222",13
"123",123,"23, 22, 24, 121, 4563, 1074, 125, 222, 223, 124, 8698",11
"124",124,"24, 123, 23, 25, 122, 9530, 225, 126, 223, 224, 125",11
"125",125,"25, 124, 24, 26, 123, 5003, 8884, 325, 127, 224, 5313, 225, 126",13
"126",126,"26, 125, 27, 124, 6449, 326, 227, 128, 225, 226, 127",11
"127",127,"126, 26, 28, 125, 9490, 327, 228, 6201, 226, 227",10
"128",128,"28, 27, 29, 126, 328, 229, 130, 227, 228, 129, 6507",11
"129",129,"29, 128, 28, 30, 329, 230, 131, 364, 229, 130",10
"130",130,"30, 129, 128, 330, 231, 132, 229, 8403, 230, 131",10
"131",131,"130, 30, 32, 129, 9378, 331, 232, 133, 230, 8114, 231",11
"132",132,"32, 31, 33, 130, 4723, 7819, 233, 134, 231, 9777, 6015, 2731",12
"133",133,"32, 131, 4314, 333, 234, 135, 232, 5656, 233, 134, 2371",11
"134",134,"34, 133, 35, 132, 33, 4631, 334, 235, 136, 2105, 234",11
"135",135,"34, 133, 7765, 335, 236, 4772, 234, 235, 136, 1347, 2394",11
"136",136,"135, 35, 134, 37, 1881, 336, 237, 138, 235, 9080, 236, 137, 3519",13
"137",137,"37, 136, 48, 38, 8053, 5592, 337, 5575, 139, 237, 138",11
"138",138,"38, 137, 37, 39, 136, 338, 140, 237, 238",9
"139",139,"39, 38, 40, 137, 339, 240, 141, 238, 239, 140, 941",11
"140",140,"40, 139, 41, 138, 39, 340, 241, 142, 239, 240, 141",11
"141",141,"41, 140, 42, 139, 40, 5063, 341, 143, 240, 4699, 241, 142",12
"142",142,"42, 141, 43, 140, 342, 4273, 242, 143",8
"143",143,"43, 142, 42, 44, 141, 9517, 343, 244, 145, 242, 3303, 208, 243, 3719",14
"144",144,"44, 43, 45, 5123, 4664, 4413, 1169, 344, 146, 3476, 6236, 709, 244, 145",14
"145",145,"45, 144, 46, 143, 44, 345, 246, 147, 244, 9800, 245, 146",12
"146",146,"145, 144, 45, 346, 4069, 148, 245, 6880, 246, 147",10
"147",147,"47, 146, 48, 145, 46, 3115, 347, 248, 149, 246, 148",11
"148",148,"48, 49, 146, 147, 9919, 1542, 249, 150, 247, 248, 9045",11
"149",149,"49, 48, 50, 147, 680, 349, 250, 151, 248, 249, 150",11
"150",150,"149, 49, 51, 148, 3919, 6803, 350, 152, 249, 250, 151",11
"151",151,"51, 150, 52, 149, 6290, 351, 4948, 9926, 250, 342, 3873, 251, 152",13
"152",152,"52, 151, 51, 150, 9261, 352, 253, 154, 251, 252, 153",11
"153",153,"53, 152, 54, 52, 4823, 2023, 353, 254, 155, 252, 154",11
"154",154,"53, 55, 152, 153, 3516, 255, 156, 253, 254, 155",10
"155",155,"55, 154, 56, 153, 355, 256, 157, 1044, 255",9
"156",156,"56, 55, 57, 154, 1554, 257, 158, 8100, 256, 157, 2290",11
"157",157,"57, 156, 56, 58, 155, 8221, 357, 258, 159, 256, 3852, 257, 3733",13
"158",158,"57, 59, 156, 3426, 358, 160, 257, 258, 159",9
"159",159,"59, 158, 58, 60, 157, 359, 260, 161, 1480, 259, 160",11
